t,V,theta,r,phi,alpha,m
3.3363674246,0.9580812356,0.1653486618,1.2357360425,3.2750516626,-1.3133559900,0.9983318163
3.3555708534,0.9564047293,0.1655217520,1.2387633136,3.2897062397,-1.3165510890,0.9983222146
3.3747742822,0.9547315691,0.1656698845,1.2417881949,3.3042990919,-1.3197328237,0.9983126129
3.3939777111,0.9530620137,0.1657931362,1.2448102368,3.3188306648,-1.3229010992,0.9983030111
3.4131811399,0.9513963157,0.1658915874,1.2478289947,3.3333014090,-1.3260558207,0.9982934094
3.4324195318,0.9497317003,0.1659654339,1.2508495141,3.3477379614,-1.3292025995,0.9982837902
3.4516579238,0.9480714462,0.1660145622,1.2538658579,3.3621143830,-1.3323355841,0.9982741710
3.4708963157,0.9464157898,0.1660390636,1.2568775929,3.3764311402,-1.3354546792,0.9982645518
3.4901347076,0.9447649620,0.1660390329,1.2598842908,3.3906887037,-1.3385597892,0.9982549326
3.5094376737,0.9431136728,0.1660144449,1.2628955922,3.4049351079,-1.3416611700,0.9982452812
3.5287406398,0.9414676937,0.1659653605,1.2659009733,3.4191228802,-1.3447482793,0.9982356297
3.5480436059,0.9398272415,0.1658918845,1.2689000158,3.4332525061,-1.3478210207,0.9982259782
3.5673465719,0.9381925275,0.1657941247,1.2718923065,3.4473244741,-1.3508792977,0.9982163267
3.5867428197,0.9365559018,0.1656715439,1.2748918447,3.4614068639,-1.3539376872,0.9982066286
3.6061390674,0.9349254823,0.1655246705,1.2778837436,3.4754320341,-1.3569812771,0.9981969305
3.6255353151,0.9333014680,0.1653536217,1.2808675989,3.4894004875,-1.3600099696,0.9981872323
3.6449315628,0.9316840531,0.1651585174,1.2838430108,3.5033127293,-1.3630236669,0.9981775342
3.6644425590,0.9300639187,0.1649381130,1.2868271078,3.5172510770,-1.3660399658,0.9981677787
3.6839535552,0.9284508412,0.1646936178,1.2898018650,3.5311335765,-1.3690408931,0.9981580232
3.7034645513,0.9268450034,0.1644251610,1.2927668905,3.5449607467,-1.3720263492,0.9981482677
3.7229755475,0.9252465839,0.1641328734,1.2957217975,3.5587331077,-1.3749962344,0.9981385122
3.7426152898,0.9236452845,0.1638147246,1.2986855974,3.5725415222,-1.3779698910,0.9981286924
3.7622550321,0.9220518504,0.1634727022,1.3016383735,3.5862954624,-1.3809275681,0.9981188725
3.7818947744,0.9204664498,0.1631069459,1.3045797461,3.5999954613,-1.3838691644,0.9981090526
3.8015345167,0.9188892468,0.1627175971,1.3075093408,3.6136420526,-1.3867945783,0.9980992327
3.8213135511,0.9173093045,0.1623017880,1.3104474355,3.6273319940,-1.3897242825,0.9980893432
3.8410925856,0.9157379975,0.1618623440,1.3133728376,3.6409688546,-1.3926373673,0.9980794537
3.8608716200,0.9141754807,0.1613994151,1.3162851797,3.6545531798,-1.3955337288,0.9980695642
3.8806506544,0.9126219051,0.1609131524,1.3191840996,3.6680855151,-1.3984132636,0.9980596747
3.9005764740,0.9110659898,0.1603998420,1.3220905989,3.6816662596,-1.4012970483,0.9980497118
3.9205022935,0.9095194445,0.1598631633,1.3249827532,3.6951953497,-1.4041635442,0.9980397489
3.9404281131,0.9079824117,0.1593032757,1.3278602072,3.7086733419,-1.4070126452,0.9980297859
3.9603539327,0.9064550304,0.1587203397,1.3307226108,3.7221007915,-1.4098442453,0.9980198230
3.9804311971,0.9049259394,0.1581098257,1.3335911974,3.7355797380,-1.4126795584,0.9980097844
4.0005084615,0.9034069195,0.1574762432,1.3364438053,3.7490085007,-1.4154968875,0.9979997458
4.0205857259,0.9018981022,0.1568197604,1.3392800915,3.7623876449,-1.4182961240,0.9979897071
4.0406629903,0.9003996156,0.1561405469,1.3420997178,3.7757177350,-1.4210771596,0.9979796685
4.0608936331,0.8989002573,0.1554333256,1.3449236954,3.7891006120,-1.4238609205,0.9979695532
4.0811242759,0.8974116392,0.1547033738,1.3477300837,3.8024348285,-1.4266259802,0.9979594379
4.1013549187,0.8959338827,0.1539508682,1.3505185518,3.8157209574,-1.4293722276,0.9979493225
4.1215855614,0.8944671061,0.1531759868,1.3532887739,3.8289595700,-1.4320995519,0.9979392072
4.1419688114,0.8930004862,0.1523728116,1.3560611145,3.8422505684,-1.4348281990,0.9979290156
4.1623520614,0.8915452444,0.1515472870,1.3588142838,3.8554944899,-1.4375374102,0.9979188240
4.1827353114,0.8901014928,0.1506995979,1.3615479634,3.8686919131,-1.4402270720,0.9979086323
4.2031185614,0.8886693408,0.1498299299,1.3642618399,3.8818434149,-1.4428970708,0.9978984407
4.2236508980,0.8872385491,0.1489318696,1.3669752325,3.8950452648,-1.4455666043,0.9978881746
4.2441832346,0.8858197421,0.1480118888,1.3696679076,3.9082016875,-1.4482159549,0.9978779084
4.2647155712,0.8844130236,0.1470701799,1.3723395597,3.9213132658,-1.4508450067,0.9978676422
4.2852479077,0.8830184951,0.1461069364,1.3749898880,3.9343805804,-1.4534536437,0.9978573760
4.3059229613,0.8816266912,0.1451154342,1.3776367919,3.9474945831,-1.4560596673,0.9978470385
4.3265980149,0.8802474466,0.1441024926,1.3802614770,3.9605648791,-1.4586447551,0.9978367010
4.3472730685,0.8788808580,0.1430683114,1.3828636507,3.9735920537,-1.4612087888,0.9978263635
4.3679481221,0.8775270198,0.1420130910,1.3854430252,3.9865766900,-1.4637516499,0.9978160259
4.3887565336,0.8761774165,0.1409300245,1.3880157304,3.9996027160,-1.4662894152,0.9978056217
4.4095649452,0.8748409142,0.1398260562,1.3905647707,4.0125868299,-1.4688054931,0.9977952175
4.4303733567,0.8735176031,0.1387013927,1.3930898667,4.0255296182,-1.4712997629,0.9977848133
4.4511817683,0.8722075714,0.1375562411,1.3955907439,4.0384316645,-1.4737721039,0.9977744091
4.4721110167,0.8709034149,0.1363839827,1.3980814410,4.0513681237,-1.4762365597,0.9977639445
4.4930402652,0.8696128660,0.1351914204,1.4005470941,4.0642645422,-1.4786785862,0.9977534799
4.5139695136,0.8683360093,0.1339787670,1.4029874375,4.0771215054,-1.4810980606,0.9977430152
4.5348987621,0.8670729277,0.1327462361,1.4054022103,4.0899395958,-1.4834948598,0.9977325506
4.5559329703,0.8658174726,0.1314877132,1.4078030712,4.1027833880,-1.4858807090,0.9977220335
4.5769671784,0.8645760942,0.1302095477,1.4101775894,4.1155890877,-1.4882434062,0.9977115164
4.5980013866,0.8633488722,0.1289119584,1.4125255136,4.1283572777,-1.4905828269,0.9977009993
4.6190355947,0.8621358847,0.1275951650,1.4148465968,4.1410885379,-1.4928988461,0.9976904822
4.6401553262,0.8609323642,0.1262539181,1.4171498680,4.1538349881,-1.4952006122,0.9976799223
4.6612750577,0.8597433483,0.1248937561,1.4194255936,4.1665453703,-1.4974785342,0.9976693625
4.6823947891,0.8585689125,0.1235149034,1.4216735366,4.1792202627,-1.4997324859,0.9976588026
4.7035145206,0.8574091310,0.1221175849,1.4238934645,4.1918602407,-1.5019623410,0.9976482427
4.7246965817,0.8562607195,0.1206978219,1.4260915749,4.2045030288,-1.5041744466,0.9976376517
4.7458786427,0.8551271953,0.1192599393,1.4282610484,4.2171118465,-1.5063620589,0.9976270607
4.7670607038,0.8540086302,0.1178041663,1.4304016630,4.2296872657,-1.5085250503,0.9976164696
4.7882427648,0.8529050952,0.1163307325,1.4325132005,4.2422298553,-1.5106632937,0.9976058786
4.8094600267,0.8518148640,0.1148373766,1.4345988831,4.2547609449,-1.5127801527,0.9975952700
4.8306772885,0.8507398527,0.1133267648,1.4366549663,4.2672602301,-1.5148719255,0.9975846614
4.8518945504,0.8496801300,0.1117991304,1.4386812433,4.2797282741,-1.5169384839,0.9975740527
4.8731118122,0.8486357639,0.1102547071,1.4406775112,4.2921656379,-1.5189797000,0.9975634441
4.8943330683,0.8476066296,0.1086934342,1.4426439380,4.3045752123,-1.5209958228,0.9975528335
4.9155543245,0.8465929918,0.1071158364,1.4445799498,4.3169552087,-1.5229863376,0.9975422228
4.9367755806,0.8455949169,0.1055221501,1.4464853551,4.3293061803,-1.5249511163,0.9975316122
4.9579968367,0.8446124703,0.1039126124,1.4483599662,4.3416286775,-1.5268900308,0.9975210016
4.9791867134,0.8436471352,0.1022898757,1.4502008960,4.3539050888,-1.5288001437,0.9975104066
5.0003765901,0.8426975115,0.1006518093,1.4520107596,4.3661541993,-1.5306842136,0.9974998117
5.0215664668,0.8417636633,0.0989986519,1.4537893812,4.3783765497,-1.5325421129,0.9974892168
5.0427563434,0.8408456541,0.0973306428,1.4555365886,4.3905726781,-1.5343737142,0.9974786218
5.0638752722,0.8399465408,0.0956536802,1.4572465217,4.4027024136,-1.5361728901,0.9974680624
5.0849942010,0.8390632855,0.0939624425,1.4589249196,4.4148071630,-1.5379456909,0.9974575029
5.1061131298,0.8381959503,0.0922571695,1.4605716221,4.4268874526,-1.5396919903,0.9974469434
5.1272320586,0.8373445967,0.0905381017,1.4621864725,4.4389438060,-1.5414116621,0.9974363840
5.1482363170,0.8365137782,0.0888149243,1.4637608100,4.4509114716,-1.5430954603,0.9974258818
5.1692405754,0.8356988892,0.0870785788,1.4653033413,4.4628564879,-1.5447526702,0.9974153797
5.1902448338,0.8348999899,0.0853293045,1.4668139221,4.4747793642,-1.5463831676,0.9974048776
5.2112490922,0.8341171401,0.0835673419,1.4682924114,4.4866806079,-1.5479868283,0.9973943755
5.2320909028,0.8333562675,0.0818067026,1.4697276099,4.4984689231,-1.5495514376,0.9973839545
5.2529327134,0.8326113143,0.0800340447,1.4711309440,4.5102369290,-1.5510893800,0.9973735336
5.2737745239,0.8318823386,0.0782496060,1.4725022851,4.5219851163,-1.5526005343,0.9973631127
5.2946163345,0.8311693986,0.0764536250,1.4738415075,4.5337139736,-1.5540847790,0.9973526918
5.3152439954,0.8304796304,0.0746649680,1.4751352239,4.5453037620,-1.5555271578,0.9973423780
5.3358716562,0.8298056833,0.0728654729,1.4763972421,4.5568755640,-1.5569429408,0.9973320642
5.3564993171,0.8291476135,0.0710553741,1.4776274492,4.5684298490,-1.5583320104,0.9973217503
5.3771269780,0.8285054774,0.0692349069,1.4788257346,4.5799670852,-1.5596942487,0.9973114365
5.3974849752,0.8278874133,0.0674283035,1.4799769514,4.5913372357,-1.5610122565,0.9973012575
5.4178429723,0.8272849780,0.0656120595,1.4810968702,4.6026916824,-1.5623039025,0.9972910785
5.4382009694,0.8266982257,0.0637864044,1.4821853927,4.6140308717,-1.5635690735,0.9972808995
5.4585589665,0.8261272106,0.0619515685,1.4832424233,4.6253552489,-1.5648076565,0.9972707205
5.4785879787,0.8255808335,0.0601376485,1.4842515494,4.6364826004,-1.5660001672,0.9972607060
5.4986169909,0.8250497935,0.0583152872,1.4852300169,4.6475964669,-1.5671667251,0.9972506915
5.5186460031,0.8245341425,0.0564847070,1.4861777420,4.6586972694,-1.5683072226,0.9972406770
5.5386750153,0.8240339323,0.0546461313,1.4870946434,4.6697854283,-1.5694215518,0.9972306625
5.5583116869,0.8235585608,0.0528360250,1.4879635837,4.6806445159,-1.5704885448,0.9972208442
5.5779483586,0.8230981303,0.0510186614,1.4888027476,4.6914922484,-1.5715301797,0.9972110258
5.5975850302,0.8226526901,0.0491942542,1.4896120651,4.7023290201,-1.5725463551,0.9972012075
5.6172217018,0.8222222895,0.0473630176,1.4903914681,4.7131552244,-1.5735369696,0.9971913891
5.6363979853,0.8218165418,0.0455683302,1.4911236640,4.7237177824,-1.5744795925,0.9971818010
5.6555742687,0.8214252300,0.0437675370,1.4918272095,4.7342710030,-1.5753976477,0.9971722129
5.6747505521,0.8210484004,0.0419608407,1.4925020473,4.7448152513,-1.5762910406,0.9971626247
5.6939268356,0.8206860991,0.0401484447,1.4931481217,4.7553508919,-1.5771596767,0.9971530366
5.7125685977,0.8203478674,0.0383812981,1.4937485648,4.7655849562,-1.5779802793,0.9971437157
5.7312103599,0.8200234521,0.0366091472,1.4943217277,4.7758115648,-1.5787773100,0.9971343948
5.7498521220,0.8197128961,0.0348321815,1.4948675646,4.7860310521,-1.5795506817,0.9971250739
5.7684938842,0.8194162422,0.0330505915,1.4953860317,4.7962437520,-1.5803003079,0.9971157531
5.7865182534,0.8191426729,0.0313237887,1.4958612627,4.8061120797,-1.5810024466,0.9971067409
5.8045426226,0.8188821794,0.0295930157,1.4963108305,4.8159746760,-1.5816822268,0.9970977287
5.8225669918,0.8186348008,0.0278584472,1.4967346998,4.8258318427,-1.5823395700,0.9970887165
5.8405913610,0.8184005762,0.0261202587,1.4971328369,4.8356838813,-1.5829743977,0.9970797043
5.8579018233,0.8181880481,0.0244476720,1.4974909511,4.8451411544,-1.5835628129,0.9970710491
5.8752122857,0.8179877237,0.0227720659,1.4978252742,4.8545942429,-1.5841303190,0.9970623939
5.8925227481,0.8177996378,0.0210935980,1.4981357803,4.8640434141,-1.5846768464,0.9970537386
5.9098332105,0.8176238255,0.0194124267,1.4984224445,4.8734889353,-1.5852023256,0.9970450834
5.9263103127,0.8174679106,0.0178098242,1.4986731391,4.8824765839,-1.5856828911,0.9970368448
5.9427874150,0.8173231779,0.0162050543,1.4989021919,4.8914613984,-1.5861442633,0.9970286063
5.9592645172,0.8171896577,0.0145982552,1.4991095849,4.9004436095,-1.5865863822,0.9970203677
5.9757416195,0.8170673803,0.0129895661,1.4992953011,4.9094234482,-1.5870091879,0.9970121292
5.9912238719,0.8169627581,0.0114764083,1.4994500367,4.9178591493,-1.5873888128,0.9970043881
6.0067061244,0.8168681141,0.0099618214,1.4995856077,4.9262931517,-1.5877512835,0.9969966469
6.0221883769,0.8167834738,0.0084459223,1.4997020023,4.9347256474,-1.5880965504,0.9969889058
6.0376706294,0.8167088623,0.0069288283,1.4997992100,4.9431568286,-1.5884245637,0.9969811647
6.0519087299,0.8166491207,0.0055326943,1.4998716614,4.9509094860,-1.5887109456,0.9969740456
6.0661468305,0.8165979020,0.0041357413,1.4999278702,4.9586613441,-1.5889826548,0.9969669266
6.0803849310,0.8165552261,0.0027380619,1.4999678300,4.9664125529,-1.5892396525,0.9969598075
6.0946230315,0.8165211126,0.0013397486,1.4999915348,4.9741632624,-1.5894819000,0.9969526885
6.0980319018,0.8165142178,0.0010048823,1.4999947978,4.9760188713,-1.5895377059,0.9969509840
6.1014407721,0.8165078152,0.0006699863,1.4999971287,4.9778744622,-1.5895926635,0.9969492796
6.1048496424,0.8165019051,0.0003350618,1.4999985274,4.9797300372,-1.5896467724,0.9969475752
6.1082585127,0.8164964878,0.0000001102,1.4999989939,4.9815855984,-1.5897000319,0.9969458707
